Date,Views,Watch time (hours),Average view duration
Total,9661,495.7681,0:03:04
2024-11-15,79,3.5639,0:02:42
2024-11-14,48,2.9158,0:03:38
2024-11-13,54,2.7302,0:03:02
2024-11-12,66,1.9629,0:01:47
2024-11-11,50,1.9876,0:02:23
2024-11-10,57,3.607,0:03:47
2024-11-09,46,3.0237,0:03:56
2024-11-08,34,2.0445,0:03:36
2024-11-07,65,2.5902,0:02:23
2024-11-06,50,3.4988,0:04:11
2024-11-05,68,3.9127,0:03:27
2024-11-04,45,3.0776,0:04:06
2024-11-03,30,1.9194,0:03:50
2024-11-02,37,3.5207,0:05:42
2024-11-01,74,3.898,0:03:09
2024-10-31,32,2.3267,0:04:21
2024-10-30,73,4.7921,0:03:56
2024-10-29,61,3.6424,0:03:34
2024-10-28,59,3.1872,0:03:14
2024-10-27,15,1.1536,0:04:36
2024-10-26,18,1.0842,0:03:36
2024-10-25,35,2.4383,0:04:10
2024-10-24,62,3.7534,0:03:37
2024-10-23,60,3.6413,0:03:38
2024-10-22,44,2.4918,0:03:23
2024-10-21,27,0.5609,0:01:14
2024-10-20,25,2.2977,0:05:30
2024-10-19,12,0.5352,0:02:40
2024-10-18,40,1.7664,0:02:38
2024-10-17,25,0.5068,0:01:12
2024-10-16,75,3.6307,0:02:54
2024-10-15,60,2.9781,0:02:58
2024-10-14,21,1.0711,0:03:03
2024-10-13,41,1.8298,0:02:40
2024-10-12,27,1.763,0:03:55
2024-10-11,36,2.4265,0:04:02
2024-10-10,39,2.2513,0:03:27
2024-10-09,66,2.5349,0:02:18
2024-10-08,46,2.0334,0:02:39
2024-10-07,52,4.1396,0:04:46
2024-10-06,28,0.9032,0:01:56
2024-10-05,23,1.0835,0:02:49
2024-10-04,37,2.137,0:03:27
2024-10-03,55,1.3706,0:01:29
2024-10-02,33,2.0502,0:03:43
2024-10-01,47,3.6742,0:04:41
2024-09-30,57,2.6792,0:02:49
2024-09-29,33,2.8209,0:05:07
2024-09-28,31,2.1154,0:04:05
2024-09-27,27,1.8844,0:04:11
2024-09-26,32,1.531,0:02:52
2024-09-25,33,1.9432,0:03:31
2024-09-24,118,5.336,0:02:42
2024-09-23,21,0.7176,0:02:03
2024-09-22,45,2.2286,0:02:58
2024-09-21,26,1.0756,0:02:28
2024-09-20,22,0.776,0:02:06
2024-09-19,35,0.9629,0:01:39
2024-09-18,47,1.0066,0:01:17
2024-09-17,61,2.0246,0:01:59
2024-09-16,49,2.631,0:03:13
2024-09-15,58,3.3027,0:03:24
2024-09-14,28,1.1124,0:02:23
2024-09-13,12,0.426,0:02:07
2024-09-12,49,2.4729,0:03:01
2024-09-11,30,0.6144,0:01:13
2024-09-10,41,0.9664,0:01:24
2024-09-09,67,1.4438,0:01:17
2024-09-08,20,0.4528,0:01:21
2024-09-07,19,0.8627,0:02:43
2024-09-06,30,1.4202,0:02:50
2024-09-05,51,2.1258,0:02:30
2024-09-04,77,4.2886,0:03:20
2024-09-03,82,2.5915,0:01:53
2024-09-02,94,3.7973,0:02:25
2024-09-01,25,1.1026,0:02:38
2024-08-31,15,0.4046,0:01:37
2024-08-30,18,1.1419,0:03:48
2024-08-29,34,1.9461,0:03:26
2024-08-28,29,1.3198,0:02:43
2024-08-27,36,0.5806,0:00:58
2024-08-26,33,1.2796,0:02:19
2024-08-25,37,2.3281,0:03:46
2024-08-24,14,1.0395,0:04:27
2024-08-23,47,3.2839,0:04:11
2024-08-22,24,1.3748,0:03:26
2024-08-21,30,1.3044,0:02:36
2024-08-20,33,1.6154,0:02:56
2024-08-19,16,0.4058,0:01:31
2024-08-18,19,0.7193,0:02:16
2024-08-17,30,0.9376,0:01:52
2024-08-16,23,1.1306,0:02:56
2024-08-15,24,0.9806,0:02:27
2024-08-14,22,1.5688,0:04:16
2024-08-13,10,0.1244,0:00:44
2024-08-12,20,0.7823,0:02:20
2024-08-11,16,0.4246,0:01:35
2024-08-10,41,4.3284,0:06:20
2024-08-09,29,1.4806,0:03:03
2024-08-08,18,1.1309,0:03:46
2024-08-07,14,1.0561,0:04:31
2024-08-06,51,4.4039,0:05:10
2024-08-05,61,3.5796,0:03:31
2024-08-04,17,1.3469,0:04:45
2024-08-03,18,1.5899,0:05:17
2024-08-02,50,3.5387,0:04:14
2024-08-01,44,4.6498,0:06:20
2024-07-31,27,1.3318,0:02:57
2024-07-30,85,9.2777,0:06:32
2024-07-29,71,5.7256,0:04:50
2024-07-28,47,2.9983,0:03:49
2024-07-27,22,1.2482,0:03:24
2024-07-26,39,3.3154,0:05:06
2024-07-25,28,2.0801,0:04:27
2024-07-24,13,0.5985,0:02:45
2024-07-23,31,2.28,0:04:24
2024-07-22,64,3.0669,0:02:52
2024-07-21,18,0.7623,0:02:32
2024-07-20,51,3.3488,0:03:56
2024-07-19,36,3.2402,0:05:24
2024-07-18,52,2.4567,0:02:50
2024-07-17,44,2.9393,0:04:00
2024-07-16,37,0.9011,0:01:27
2024-07-15,26,2.8141,0:06:29
2024-07-14,18,0.8722,0:02:54
2024-07-13,8,0.3372,0:02:31
2024-07-12,2,0.0741,0:02:13
2024-07-11,26,1.6081,0:03:42
2024-07-10,14,1.2183,0:05:13
2024-07-09,24,1.7479,0:04:22
2024-07-08,8,0.1196,0:00:53
2024-07-07,12,0.6517,0:03:15
2024-07-06,41,3.2678,0:04:46
2024-07-05,6,0.2653,0:02:39
2024-07-04,9,1.0993,0:07:19
2024-07-03,4,0.2676,0:04:00
2024-07-02,11,1.2162,0:06:38
2024-07-01,25,1.6379,0:03:55
2024-06-30,103,3.2583,0:01:53
2024-06-29,83,4.0169,0:02:54
2024-06-28,32,4.337,0:08:07
2024-06-27,39,2.3009,0:03:32
2024-06-26,40,3.129,0:04:41
2024-06-25,20,1.0936,0:03:16
2024-06-24,28,1.2487,0:02:40
2024-06-23,28,0.9382,0:02:00
2024-06-22,14,0.659,0:02:49
2024-06-21,10,0.9768,0:05:51
2024-06-20,9,0.4866,0:03:14
2024-06-19,9,0.8984,0:05:59
2024-06-18,2,0.0206,0:00:37
2024-06-17,9,0.1954,0:01:18
2024-06-16,16,1.023,0:03:50
2024-06-15,19,1.4756,0:04:39
2024-06-14,6,0.2968,0:02:58
2024-06-13,5,0.4178,0:05:00
2024-06-12,25,0.7077,0:01:41
2024-06-11,16,0.5479,0:02:03
2024-06-10,12,0.3464,0:01:43
2024-06-09,9,0.1729,0:01:09
2024-06-08,12,0.7511,0:03:45
2024-06-07,6,0.2211,0:02:12
2024-06-06,14,1.382,0:05:55
2024-06-05,7,0.1839,0:01:34
2024-06-04,2,0.0332,0:00:59
2024-06-03,3,0.1115,0:02:13
2024-06-02,8,0.0342,0:00:15
