Date,Views,Watch time (hours)
2021-01-01,34.0,2.1518
2020-12-31,13.0,0.4751
2020-12-30,47.0,2.5803
2020-12-29,78.0,3.5346
2020-12-28,158.0,7.2455
2020-12-27,88.0,7.5756
2020-12-26,70.0,3.3697
2020-12-25,84.0,6.4577
2020-12-24,94.0,5.6948
2020-12-23,85.0,3.6614
2020-12-22,150.0,4.9304
2020-12-21,221.0,9.3971
2020-12-20,59.0,2.8727
2020-12-19,66.0,2.1985
2020-12-18,81.0,2.5548
2020-12-17,40.0,0.9894
2020-12-16,78.0,3.0087
2020-12-15,81.0,4.4897
2020-12-14,53.0,2.2994
2020-12-13,74.0,4.5829
2020-12-12,63.0,2.3897
2020-12-11,48.0,3.3892
2020-12-10,56.0,2.9705
2020-12-09,50.0,1.8972
2020-12-08,83.0,5.6926
2020-12-07,134.0,6.4288
2020-12-06,102.0,6.2544
2020-12-05,69.0,4.6044
2020-12-04,62.0,4.5662
2020-12-03,59.0,3.2834
2020-12-02,51.0,3.1011
2020-12-01,35.0,1.268
2020-11-30,70.0,5.1646
2020-11-29,70.0,5.199
2020-11-28,72.0,3.2781
2020-11-27,83.0,4.1053
2020-11-26,65.0,3.0983
2020-11-25,62.0,2.7992
2020-11-24,55.0,2.283
2020-11-23,57.0,3.4543
2020-11-22,97.0,6.9537
2020-11-21,64.0,3.5683
2020-11-20,73.0,4.3734
2020-11-19,53.0,3.1216
2020-11-18,48.0,2.6735
2020-11-17,83.0,3.2207
2020-11-16,111.0,6.3613
2020-11-15,87.0,4.982
2020-11-14,104.0,5.3018
2020-11-13,60.0,4.8663
2020-11-12,58.0,2.727
2020-11-11,66.0,3.277
2020-11-10,111.0,7.0809
2020-11-09,83.0,5.6279
2020-11-08,56.0,3.1768
2020-11-07,54.0,3.5487
2020-11-06,91.0,6.7575
2020-11-05,85.0,4.534
2020-11-04,119.0,4.6961
2020-11-03,64.0,3.0949
2020-11-02,21.0,1.3836
2020-11-01,51.0,2.9534
2020-10-31,100.0,6.8286
2020-10-30,47.0,1.7645
2020-10-29,137.0,2.4739
2020-10-28,100.0,5.8647
2020-10-27,78.0,4.5206
2020-10-26,76.0,4.5451
2020-10-25,49.0,3.1528
2020-10-24,54.0,4.2335
2020-10-23,61.0,3.4803
2020-10-22,63.0,3.1582
2020-10-21,49.0,2.4595
2020-10-20,88.0,2.2753
2020-10-19,87.0,4.7386
2020-10-18,119.0,5.9101
2020-10-17,84.0,4.8485
2020-10-16,105.0,4.4291
2020-10-15,55.0,3.2528
2020-10-14,80.0,2.9664
2020-10-13,76.0,2.2706
2020-10-12,109.0,4.041
2020-10-11,94.0,4.3028
2020-10-10,59.0,3.662
2020-10-09,51.0,1.6295
2020-10-08,61.0,3.5825
2020-10-07,41.0,3.2192
2020-10-06,80.0,3.4639
2020-10-05,59.0,2.0268
2020-10-04,36.0,2.1376
2020-10-03,45.0,1.7722
2020-10-02,57.0,3.1213
2020-10-01,30.0,1.3421
2020-09-30,24.0,0.308
2020-09-29,53.0,2.1846
2020-09-28,52.0,4.3549
2020-09-27,53.0,2.3587
2020-09-26,68.0,4.3335
2020-09-25,52.0,4.0367
2020-09-24,38.0,1.6932
2020-09-23,79.0,4.2982
2020-09-22,62.0,2.4728
2020-09-21,90.0,4.7663
2020-09-20,78.0,5.0525
2020-09-19,80.0,4.7392
2020-09-18,66.0,4.2944
2020-09-17,86.0,4.4272
